Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,SHARE ELIGIBLE FOR FUTURE SALE,267,276,UNDEFINED,UNDEFINED
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,PRICE RANGE OF SECURITIES AND DIVIDENDS,269,278,UNDEFINED,UNDEFINED
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,ANNUAL MEETING SHAREHOLDER PROPOSALS,270,279,UNDEFINED,UNDEFINED
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,OTHER SHAREHOLDER COMMUNICATIONS,271,280,UNDEFINED,UNDEFINED
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,LEGAL MATTERS,272,281,UNDEFINED,UNDEFINED
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,EXPERTS,273,282,UNDEFINED,UNDEFINED
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,DELIVERY OF DOCUMENTS TO SHAREHOLDERS,274,283,UNDEFINED,UNDEFINED
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,WHERE YOU CAN FIND MORE INFORMATION,275,284,UNDEFINED,UNDEFINED
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,INDEX OF FINANCIAL STATEMENTS,F-1,285,UNDEFINED,UNDEFINED
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,Annex A-1: Amended and Restated Agreement and Plan of Merger,A-1,386,UNDEFINED,UNDEFINED
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,Annex A-2: First Amendment to Amended and Restated Agreement and Plan of Merger,A-2-1,449,UNDEFINED,UNDEFINED
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,Annex A-3: Second Amendment to Amended and Restated Agreement and Plan of Merger,A-3-1,455,UNDEFINED,UNDEFINED
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,Annex A-4: Third Amendment to Amended and Restated Agreement and Plan of Merger,A-4-1,462,UNDEFINED,UNDEFINED
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,Annex A-5: Form of the First Plan of Merger,A-5-1,468,UNDEFINED,UNDEFINED
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,Annex A-6: Form of Amended and Restated Memorandum of Association and Articles of Association of the Initial SPAC Surviving Sub,A-6-1,472,UNDEFINED,UNDEFINED
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,Annex B: Form of Amended BTG Articles,B-1,492,UNDEFINED,UNDEFINED
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,Annex C: Form of BTG Incentive Plan,C-1,521,UNDEFINED,UNDEFINED
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,Annex D: Valuation Reports of Royson Valuation Advisory Limited,D-1,535,UNDEFINED,UNDEFINED
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,Annex E: Fairness Opinion,E-1,571,UNDEFINED,UNDEFINED
